#group,false,false,true,true,false,true,true,true,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,double,double,string
#default,mean,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,exchange,symbol,price,quantity,side
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:24:57.929Z,trades,BybitFutures,BTCUSDT,64988,0.001,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:24:58.754Z,trades,BybitFutures,BTCUSDT,64988,0.022,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:00.063Z,trades,BybitFutures,BTCUSDT,64987.9,0.149,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:00.098Z,trades,BybitFutures,BTCUSDT,64988,0.022,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:00.936Z,trades,BybitFutures,BTCUSDT,64987.9,0.002,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:01.068Z,trades,BybitFutures,BTCUSDT,64987.9,0.025,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:01.071Z,trades,BybitFutures,BTCUSDT,64987.9,0.06,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:01.077Z,trades,BybitFutures,BTCUSDT,64987.9,0.064,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:01.108Z,trades,BybitFutures,BTCUSDT,64985,0.001,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:01.111Z,trades,BybitFutures,BTCUSDT,64984.9,0.001,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:01.385Z,trades,BybitFutures,BTCUSDT,64980.1,0.044,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:02.04Z,trades,BybitFutures,BTCUSDT,64983.4,0.006,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:02.051Z,trades,BybitFutures,BTCUSDT,64983.4,0.003,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:02.053Z,trades,BybitFutures,BTCUSDT,64984.2,0.005,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:02.073Z,trades,BybitFutures,BTCUSDT,64984.2,0.003,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:02.251Z,trades,BybitFutures,BTCUSDT,64985.6,0.05,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:02.285Z,trades,BybitFutures,BTCUSDT,64985.6,0.071,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:02.777Z,trades,BybitFutures,BTCUSDT,64985.6,0.001,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:03.634Z,trades,BybitFutures,BTCUSDT,64985.7,0.001,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:04.132Z,trades,BybitFutures,BTCUSDT,64985.7,0.006,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:05.858Z,trades,BybitFutures,BTCUSDT,64985.7,0.002,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:05.924Z,trades,BybitFutures,BTCUSDT,64985.7,0.005,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:06.264Z,trades,BybitFutures,BTCUSDT,64986.5,0.043,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:06.291Z,trades,BybitFutures,BTCUSDT,64986.5,0.003,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:07.979Z,trades,BybitFutures,BTCUSDT,64987.2,0.002,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:08.208Z,trades,BybitFutures,BTCUSDT,64987.3,0.066,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:08.232Z,trades,BybitFutures,BTCUSDT,64987.3,0.011,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:08.259Z,trades,BybitFutures,BTCUSDT,64987.9,0.006,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:08.268Z,trades,BybitFutures,BTCUSDT,64988.4,0.001,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:08.34Z,trades,BybitFutures,BTCUSDT,64989.9,0.007,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:08.457Z,trades,BybitFutures,BTCUSDT,64990.5,0.053,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:09.995Z,trades,BybitFutures,BTCUSDT,64991.1,0.001,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:10.035Z,trades,BybitFutures,BTCUSDT,64991.2,0.007,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:10.431Z,trades,BybitFutures,BTCUSDT,64991.1,0.078,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:11.007Z,trades,BybitFutures,BTCUSDT,64991.2,0.019,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:11.048Z,trades,BybitFutures,BTCUSDT,64991.2,0.006,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:11.995Z,trades,BybitFutures,BTCUSDT,64991.2,0.007,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:13.204Z,trades,BybitFutures,BTCUSDT,64991.2,0.007,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:13.599Z,trades,BybitFutures,BTCUSDT,64991.2,0.003,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:14.355Z,trades,BybitFutures,BTCUSDT,64991.1,0.26,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:14.389Z,trades,BybitFutures,BTCUSDT,64991.2,0.1,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:14.724Z,trades,BybitFutures,BTCUSDT,64991.2,0.049,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:15.091Z,trades,BybitFutures,BTCUSDT,64991.1,0.139,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:15.884Z,trades,BybitFutures,BTCUSDT,64991.1,0.004,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:16.8Z,trades,BybitFutures,BTCUSDT,64991.2,0.001,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:18.171Z,trades,BybitFutures,BTCUSDT,64991.1,0.01,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:18.469Z,trades,BybitFutures,BTCUSDT,64991.2,0.002,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:19.729Z,trades,BybitFutures,BTCUSDT,64991.1,0.001,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:20.375Z,trades,BybitFutures,BTCUSDT,64991.2,0.01,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:20.674Z,trades,BybitFutures,BTCUSDT,64991.1,0.317,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:21.031Z,trades,BybitFutures,BTCUSDT,64991.2,0.006,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:21.033Z,trades,BybitFutures,BTCUSDT,64991.1,0.004,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:21.555Z,trades,BybitFutures,BTCUSDT,64991.2,0.002,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:22.208Z,trades,BybitFutures,BTCUSDT,64991.2,0.001,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:23.803Z,trades,BybitFutures,BTCUSDT,64996,0.006,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:23.836Z,trades,BybitFutures,BTCUSDT,64992,0.079,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:24.224Z,trades,BybitFutures,BTCUSDT,64992.1,0.034,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:25.476Z,trades,BybitFutures,BTCUSDT,64995,0.039,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:26.522Z,trades,BybitFutures,BTCUSDT,64995.9,0.013,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:26.781Z,trades,BybitFutures,BTCUSDT,64996,0.003,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:26.791Z,trades,BybitFutures,BTCUSDT,64996,0.005,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:26.799Z,trades,BybitFutures,BTCUSDT,64996,0.005,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:26.808Z,trades,BybitFutures,BTCUSDT,64996,0.005,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:26.817Z,trades,BybitFutures,BTCUSDT,64996,0.005,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:26.826Z,trades,BybitFutures,BTCUSDT,64996,0.004,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:26.847Z,trades,BybitFutures,BTCUSDT,64996,0.002,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:26.933Z,trades,BybitFutures,BTCUSDT,64996,0.005,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:27.001Z,trades,BybitFutures,BTCUSDT,64996.3,0.001,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:27.226Z,trades,BybitFutures,BTCUSDT,64996.2,0.003,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:28.206Z,trades,BybitFutures,BTCUSDT,64996.3,0.021,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:28.311Z,trades,BybitFutures,BTCUSDT,64996.2,0.216,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:30.09Z,trades,BybitFutures,BTCUSDT,64996.2,0.004,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:30.103Z,trades,BybitFutures,BTCUSDT,64996.3,0.006,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:30.383Z,trades,BybitFutures,BTCUSDT,64996.2,0.025,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:31.047Z,trades,BybitFutures,BTCUSDT,64996.2,0.001,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:31.964Z,trades,BybitFutures,BTCUSDT,64995.9,0.05,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:32.001Z,trades,BybitFutures,BTCUSDT,64994.7,0.077,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:32.033Z,trades,BybitFutures,BTCUSDT,64993.3,0.049,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:32.061Z,trades,BybitFutures,BTCUSDT,64991.2,0.001,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:32.09Z,trades,BybitFutures,BTCUSDT,64991.1,0.05,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:32.182Z,trades,BybitFutures,BTCUSDT,64990.1,0.18,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:32.193Z,trades,BybitFutures,BTCUSDT,64990.1,0.179,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:32.532Z,trades,BybitFutures,BTCUSDT,64990,0.001,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:32.853Z,trades,BybitFutures,BTCUSDT,64990,0.034,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:32.902Z,trades,BybitFutures,BTCUSDT,64988.8,0.042,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:32.909Z,trades,BybitFutures,BTCUSDT,64988,0.001,sell
